IDOld	IDNew	total_exons	total_isoforms	strand	chr	name	gene	ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Type	IsoPsi2	IsoPsi1	FluxPsiG1	FluxPsiG2	ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Turbo_Pmin_JC_c01	majiq_Postmax_p001	leafcutter_p_value	JumPmin	Type	IsoMajorPsiGroup1	IsoMajorPsiGroup2	TurboMajorPsiGroup1	TurboMajorPsiGroup2	FluxPsiG1	FluxPsiG2	majiqPsiG1	majiqPsiG2	logitRegP	TotalCountG1	TotalCountG2	ttestRegP
ASM2448	ASM2434	4	3	+	chr3	FLNB	ENSG00000136068	ASM2434	3	4	19482	24655	1.44E-10	0.626431324	NA	0.840133702	0.277209628	0.846148527	0.35220415	ASM2448	3	4	19482	24655	1.44E-10	0.626431324	0	1	1.24E-17	2.39E-114	NA	0.277209628	0.840133702	0.802444444	0.947111111	0.35220415	0.846148527	0.365	0.991	2.23E-289	1613.333333	1486	0.000219937
ASM860	ASM861	13	14	+	chr1	RUSC1	ENSG00000160753	ASM861	7	13	9118	8804	3.29E-10	0.307312807	NA	0.850589597	0.770100476	0.393416928	0.380793864	ASM860	9	13	9135	8866	0	0.321511538	NA	1	0.00202	3.71E-06	NA	0.59286149	0.689105901	NA	NA	0.400585982	0.422755023	1	1	4.04E-09	45.33333333	89	5.25E-05
ASM4479	ASM4452	15	4	-	chr7	COX19	ENSG00000240230	ASM4452	4	15	5081	8739	4.13E-10	0.449607409	NA	0.335224631	0.942968901	0.526104418	0.95318158	ASM4479	4	15	5081	8739	6.06E-10	0.449607409	NA	1	6.01E-09	2.53E-10	NA	0.907117276	0.337691394	NA	NA	0.95318158	0.526104418	0.98	0.997	2.45E-10	83	50.33333333	2.01E-05
ASM2203	ASM2198	8	5	-	chr3	MRPS25	ENSG00000131368	ASM2198	5	8	5477	7082	1.82E-09	0.071103804	NA	0.597925849	0.471867157	0.874257694	0.80315389	ASM2203	5	8	5477	7082	1.82E-09	0.071103804	8.71E-07	0.997	5.28E-06	0.000126	NA	0.295612092	0.327471234	0.821	0.663833333	0.80315389	0.874257694	0.846	0.793	0.001312398	213	146.6666667	0.007361623
ASM7210	ASM7132	26	278	+	chr11	ACAD8	ENSG00000151498	ASM7132	7	26	8882	5368	3.29E-09	0.598813345	NA	0.875172375	0.610674473	0.768867047	0.170053702	ASM7210	20	26	9583	5484	0	0.195479317	1.30E-08	1	0.000883	4.50E-15	NA	0.38545102	0.439017243	0.816388889	0.859055556	0.292485099	0.301587302	0.995	0.998	0.998868542	3.333333333	90.33333333	0.006191672
ASM6157	ASM6090	32	18	+	chr10	KIAA1217	ENSG00000120549	ASM6090	4	32	22353	12999	3.37E-09	NA	NA	0.643945482	0.401640434	NA	NA	ASM6157	16	32	22903	13165	0	NA	0	1	5.09E-11	2.00E-18	NA	0.298876939	0.344044855	0.766266667	0.874466667	NA	NA	0.994	0.996	NA	5.666666667	7	NA
ASM5446	ASM5393	30	79	+	chr8	OXR1	ENSG00000164830	ASM5393	6	30	15809	14128	4.71E-09	0.209327958	NA	0.640797702	0.345702673	0.46797827	0.285132854	ASM5446	18	30	16249	14397	0	0.155169244	1.88E-09	1	3.88E-06	2.93E-10	NA	0.20455139	0.307791568	0.705555556	0.716777778	0.634927328	0.546259202	0.992	0.994	0.000102798	58	83.66666667	0.116802836
ASM9985	ASM9896	44	33	-	chr18	NPC1	ENSG00000141458	ASM9896	6	44	78457	20857	4.81E-09	0.121469289	NA	0.78739647	0.790450806	0.349224806	0.470694095	ASM9985	19	44	78936	21118	0.003014117	0.121469289	1	0.996	0.00716	0.0174	NA	0.376679576	0.367310826	0.855333333	0.838	0.470694095	0.349224806	1	0.999	0.009185225	42	198.3333333	0.083959399
ASM11422	ASM11325	17	66	+	chr22	COMT	ENSG00000093010	ASM11325	9	17	8624	18840	5.09E-09	0.229412699	NA	0.855930696	0.782714937	0.566260622	0.535739724	ASM11422	12	17	8875	19315	0	0.264550996	0.721	1	5.65E-07	1.14E-22	NA	0.210158651	0.487529774	0.964222222	0.973	0.936618897	0.672067901	0.996	0.991	2.11E-07	37	58.66666667	0.019584829
ASM6501	ASM6436	15	4	+	chr10	SLK	ENSG00000065613	ASM6436	4	15	14989	10972	5.15E-09	0.845073009	NA	0.163246268	0.998838767	0.846874811	0.001801802	ASM6501	3	15	14989	10972	1.21E-06	0.845073009	0	1	5.64E-09	9.25E-24	NA	0.85980368	0.001708481	1	0.830333333	0.001801802	0.846874811	0.998	0.195	2.45E-15	111.3333333	182	0.000297367
ASM11966	ASM11875	22	11	-	chrX	MORC4	ENSG00000133131	ASM11875	4	22	16540	10948	5.17E-09	0.220266658	NA	0.377106133	0.507170071	0.341349136	0.472347656	ASM11966	4	22	16540	10948	4.80E-06	0.220266658	NA	0.967	0.00241	1.11E-05	NA	0.528717618	0.473975742	NA	NA	0.472347656	0.341349136	0.998	0.997	2.01E-08	82	99.33333333	0.004458763
ASM4592	ASM4566	6	5	-	chr7	HOXA10	ENSG00000253293	ASM4566	5	6	2316	7368	7.73E-09	0.154634712	NA	0.330803102	0.556456939	0.273958865	0.413325157	ASM4592	5	6	2316	7368	7.73E-09	0.154634712	NA	0.999	9.80E-05	0.000955	NA	0.508228572	0.309513876	NA	NA	0.413325157	0.273958865	0.435	0.276	2.93E-06	227.6666667	79	0.000367263
ASM2020	ASM2021	14	25	-	chr2	METTL21A	ENSG00000144401	ASM2021	5	14	2450	3501	1.32E-08	0.407182438	NA	0.460314532	0.626176441	0.269554561	0.583333333	ASM2020	10	14	2595	3811	2.34E-09	NA	0.000158	1	0.264	0.000904	NA	0.556229403	0.430312989	0.957333333	0.915666667	NA	NA	0.967	0.901	NA	11	2.333333333	NA
ASM4995	ASM4965	29	37	+	chr7	AHCYL2	ENSG00000158467	ASM4965	5	29	5194	3412	1.48E-08	0.11786877	NA	0.477288068	0.408322532	0.444498751	0.421028533	ASM4995	11	29	5217	3427	4.00E-10	NA	NA	0.962	0.226	0.00133	NA	0.554007044	0.589722285	NA	NA	NA	NA	0.996	0.984	NA	0	0.333333333	NA
ASM4728	ASM4703	20	137	+	chr7	RABGEF1	ENSG00000154710	ASM4703	5	20	12394	14336	1.62E-08	0.095680199	NA	0.486484238	0.599726544	0.514562381	0.418882182	ASM4728	11	20	12613	14547	1.98E-05	0.019191429	1.50E-08	0.999	0.191	1.85E-05	NA	0.348398655	0.566582235	0.835466667	0.852933333	0.93466894	0.915477512	0.95	0.988	0.460062598	74.33333333	65.66666667	0.323531226
ASM8408	ASM8344	27	126	-	chr14	XRCC3	ENSG00000126215	ASM8344	8	27	4304	5495	1.96E-08	0.16648797	NA	0.628563243	0.404064838	0.25254728	0.298221709	ASM8408	19	27	4544	5704	8.22E-15	0.380411255	0.000389	1	0.179	6.75E-08	NA	0.31730065	0.419580199	0.702666667	0.714333333	0.321212121	0.50952381	0.998	0.999	0.007629437	6.666666667	24	0.003311402
ASM3086	ASM3064	17	28	+	chr4	PRDM8	ENSG00000152784	ASM3064	8	17	16047	1002	2.70E-08	0.002622893	NA	0.296446193	0.626795267	0.916666667	0.919289559	ASM3086	10	17	16083	1005	2.99E-06	NA	0.00145	0.981	NA	0.00665	NA	0.556514592	0.349234663	0.513333333	0.781	NA	NA	0.469	0.763	0.942073843	4.333333333	206	0.977868074
ASM7433	ASM7359	32	23	-	chr12	AAAS	ENSG00000094914	ASM7359	5	32	9846	9439	2.74E-08	NA	NA	0.524803249	0.459479642	NA	NA	ASM7433	17	32	9821	9431	2.65E-14	NA	1.77E-07	0.94	NA	8.28E-05	NA	0.404980164	0.425978477	0.965222222	0.999	NA	NA	0.999	0.999	NA	0.333333333	0.666666667	NA
ASM6329	ASM6260	23	68	-	chr10	PPP3CB	ENSG00000107758	ASM6260	7	23	24077	17369	3.59E-08	0.328000229	NA	0.476744075	0.439082379	0.611773933	0.299662207	ASM6329	12	23	24240	17506	1.01E-05	0.118729394	1.04E-14	1	1.16E-05	2.89E-06	NA	0.417505197	0.467920165	0.789333333	0.846333333	0.691501994	0.810231388	0.994	0.999	0.000149625	159	138.6666667	0.13632268
ASM2473	ASM2459	35	14	-	chr3	FRMD4B	ENSG00000114541	ASM2459	3	35	3126	988	3.85E-08	NA	NA	0.79454773	0.438167149	NA	NA	ASM2473	13	35	3204	988	3.13E-12	NA	NA	NA	NA	0.122	NA	0.397054508	0.789877708	NA	NA	NA	NA	NA	NA	NA	0	18	NA
ASM9543	ASM9463	13	4	-	chr17	TNS4	ENSG00000131746	ASM9463	4	13	607	32568	4.55E-08	0.438174322	NA	0.937241576	0.718195963	0.947978244	0.509803922	ASM9543	3	13	607	32553	1.12E-06	0.438174322	1	NA	NA	NA	NA	0.591527209	0.954897926	0.902666667	0.997333333	0.509803922	0.947978244	NA	NA	7.93E-22	484.3333333	17.66666667	9.10E-05
ASM10791	ASM10700	14	18	-	chr19	ZNF677	ENSG00000197928	ASM10700	5	14	4646	269	5.42E-08	0.174204564	NA	0.556290149	0.513375696	0.694444444	0.52023988	ASM10791	8	14	4704	269	4.59E-06	0.288636364	NA	NA	NA	0.0863	NA	0.563589047	0.583882947	NA	NA	0.64469697	0.933333333	NA	NA	0.130873769	3.333333333	60.66666667	0.028748358
ASM11733	ASM11638	6	5	-	chrX	AP1S2	ENSG00000182287	ASM11638	5	6	6305	1052	6.35E-08	0.180095063	NA	0.506842563	0.717112558	0.447876448	0.579625186	ASM11733	5	6	6305	1052	6.35E-08	0.180095063	0.127	1	3.06E-05	2.01E-05	NA	0.551245946	0.319897054	0.745166667	0.660166667	0.579625186	0.447876448	0.673	0.354	0.000131609	35.66666667	364	0.023205861
ASM11162	ASM11072	14	9	-	chr20	NFATC2	ENSG00000101096	ASM11072	9	14	8437	1523	6.70E-08	0.266116604	NA	0.670246796	0.781757424	0.770179739	0.504063135	ASM11162	6	14	8437	1523	8.07E-10	0.379270198	0.659	NA	NA	0.000612	NA	0.305204544	0.42098579	0.8755	0.7315	0.504063135	0.883333333	NA	NA	5.37E-05	14	98.33333333	0.00040091
ASM9172	ASM9081	7	4	+	chr16	MARVELD3	ENSG00000140832	ASM9081	4	7	41	3171	7.02E-08	NA	NA	NA	NA	NA	NA	ASM9172	4	7	41	3171	7.02E-08	NA	NA	NA	NA	0.913	NA	0.485352588	0.449772029	NA	NA	NA	NA	NA	NA	NA	5.333333333	0	NA
ASM419	ASM422	19	67	+	chr1	TSPAN1	ENSG00000117472	ASM422	6	19	7688	11731	8.25E-08	0.078359072	NA	0.842736693	0.634415772	0.525693514	0.495858435	ASM419	12	19	7688	11731	6.86E-06	0.096415117	1.45E-05	1	0.00199	7.62E-06	NA	0.42935042	0.331830652	0.946555556	0.914	0.555343437	0.651758555	0.999	0.999	2.63E-05	368	260.6666667	0.006778908
ASM10660	ASM10571	4	3	-	chr19	OPA3	ENSG00000125741	ASM10571	3	4	3142	2846	9.73E-08	0	NA	0.433639897	0.770034	1	1	ASM10660	3	4	3142	2846	9.73E-08	0	NA	0.825	0.00109	1.99E-14	NA	0.770034003	0.433639908	NA	NA	1	1	0.903	0.947	0.99999998	21.33333333	21.33333333	NA
ASM2789	ASM2768	18	36	+	chr3	POLR2H	ENSG00000163882	ASM2768	5	18	11862	21215	1.06E-07	0.125942782	NA	0.778258216	0.666200863	0.499866834	0.373924052	ASM2789	13	18	12011	21491	0.000832199	0.119286558	1	0.989	0.791	8.11E-05	NA	0.577846499	0.599711032	0.987	0.994	0.410781099	0.530067657	1	1	0.000125223	171.3333333	165.6666667	0.040139442
ASM9551	ASM9472	11	18	+	chr17	EIF1	ENSG00000173812	ASM9472	6	11	61413	62110	1.08E-07	0.00617284	NA	0.382011808	0.469363649	1	0.99382716	ASM9551	7	11	61418	62110	0.153155667	0.00617284	0.00609	1	1.61E-07	8.18E-10	NA	0.486655814	0.472513364	0.589666667	0.656666667	0.99382716	1	1	1	0.999987988	332	137.3333333	0.422649731
ASM8966	ASM8883	22	10	-	chr16	USP31	ENSG00000103404	ASM8883	10	22	3171	3403	1.10E-07	0.133557682	NA	0.536237046	0.699449369	0.624162257	0.490604575	ASM8966	4	22	3171	3403	0.000456904	0.133557682	NA	0.757	NA	NA	NA	0.673002377	0.799099621	NA	NA	0.490604575	0.624162257	0.905	0.983	0.018343672	53.33333333	47	0.009053679
ASM778	ASM781	12	39	-	chr1	ENSA	ENSG00000143420	ASM781	5	12	14243	15883	1.47E-07	0.024533322	NA	0.477250823	0.405879122	0.777102335	0.754602291	ASM778	11	12	14912	16575	7.87E-10	0.024533322	0.0097	1	0.0283	0.0146	NA	0.312595852	0.370001638	0.732222222	0.713555556	0.754602291	0.777102335	1	0.999	0.370300649	261.6666667	203	0.48884852
ASM7400	ASM7328	23	49	-	chr12	LIMA1	ENSG00000050405	ASM7328	8	23	11172	19945	1.72E-07	0.069172579	NA	0.899624551	0.62717761	0.93549585	0.866323271	ASM7400	13	23	11154	19859	0.000120148	0.057571372	0	1	4.88E-05	4.14E-12	NA	0.614135021	0.760552727	0.8655	0.92175	0.933780735	0.991352106	0.999	0.999	2.63E-06	270.3333333	76	0.209379529
ASM10881	ASM10791	8	10	-	chr19	ZBTB45	ENSG00000119574	ASM10791	10	8	7783	9094	1.76E-07	0.191629267	NA	0.469760678	0.659792197	0.4213599	0.563238855	ASM10881	5	8	7783	9094	6.56E-06	0.191629267	NA	0.981	0.678	0.00261	NA	0.709553341	0.546448146	NA	NA	0.563238855	0.4213599	0.533	0.49	2.35E-11	149	118.3333333	2.57E-05
ASM6728	ASM6658	18	44	-	chr11	IMMP1L	ENSG00000148950	ASM6658	6	18	1288	1469	1.90E-07	0.106221428	NA	0.287081647	0.640032681	0.270160652	0.240453751	ASM6728	15	18	1411	1601	8.32E-11	0.119698032	0.000449	1	0.000673	0.00186	NA	0.292443606	0.29003649	0.873259259	0.772740741	0.250386919	0.292330852	0.887	0.831	9.99E-06	123.6666667	170.3333333	0.035605407
ASM8224	ASM8161	30	21	+	chr14	PRKCH	ENSG00000027075	ASM8161	3	30	5338	13468	2.41E-07	NA	NA	0.510951055	0.500719081	NA	NA	ASM8224	18	30	5445	13777	7.42E-11	NA	NA	0.834	0.00675	0.0326	NA	0.448657373	0.303699766	NA	NA	NA	NA	0.997	0.999	NA	10.33333333	0.333333333	NA
ASM10805	ASM10714	16	60	-	chr19	MBOAT7	ENSG00000125505	ASM10714	4	16	40373	30478	2.50E-07	0.086961774	NA	0.339395302	0.365095146	0.393605	0.480566774	ASM10805	13	16	40687	30642	0.008150554	0	0.157	0.969	0.147	4.85E-06	NA	0.396541938	0.374929559	0.907	0.9235	1	1	0.987	0.992	0.999998442	152.6666667	191.3333333	NA
